x y result
19 0 1
7 4 2401
15 1 15
10 4 10000
2 4 16
7 0 1
7 0 1
5 3 125
13 4 28561
23 4 279841
27 4 531441
8 0 1
2 0 1
15 1 15
11 0 1
15 1 15
12 3 1728
22 2 484
16 2 256
0 3 0
8 3 512
14 3 2744
19 2 361
5 3 125
6 4 1296
11 0 1
20 1 20
7 2 49
5 1 5
29 2 841
20 3 8000
1 4 1
24 0 1
17 3 4913
14 3 2744
10 2 100
18 1 18
28 3 21952
22 4 234256
14 3 2744
15 0 1
28 4 614656
7 3 343
1 1 1
7 0 1
16 2 256
1 1 1
9 3 729
5 0 1
19 1 19
4 4 256
21 1 21
12 3 1728
20 0 1
11 0 1
20 4 160000
26 4 456976
25 1 25
20 4 160000
0 1 0
15 0 1
25 2 625
20 2 400
16 2 256
24 0 1
21 3 9261
9 1 9
7 1 7
22 3 10648
23 4 279841
16 0 1
10 4 10000
4 0 1
10 2 100
28 3 21952
15 4 50625
13 3 2197
7 4 2401
29 3 24389
2 4 16
19 4 130321
26 3 17576
6 3 216
5 2 25
17 3 4913
22 1 22
29 0 1
14 3 2744
19 2 361
25 1 25
27 4 531441
8 4 4096
2 0 1
1 0 1
5 3 125
13 4 28561
11 4 14641
12 3 1728
9 4 6561
18 0 1
5 4 625
24 4 331776
14 4 38416
9 3 729
19 2 361
5 0 1
24 2 576
22 3 10648
0 2 0
16 3 4096
23 4 279841
8 1 8
15 1 15
18 3 5832
2 0 1
11 3 1331
27 2 729
10 3 1000
24 0 1
18 0 1
11 1 11
16 1 16
3 2 9
16 1 16
28 4 614656
19 3 6859
8 3 512
18 3 5832
21 3 9261
6 0 1
7 3 343
5 1 5
25 0 1
29 3 24389
1 0 1
13 3 2197
18 1 18
18 3 5832
9 1 9
17 4 83521
4 1 4
29 3 24389
13 1 13
1 3 1
21 3 9261
28 1 28
3 0 1
16 0 1
13 2 169
27 3 19683
16 4 65536
12 0 1
5 3 125
24 2 576
24 0 1
15 3 3375
22 3 10648
26 2 676
11 2 121
29 4 707281
24 0 1
20 1 20
17 1 17
11 4 14641
17 1 17
14 1 14
0 0 1
11 3 1331
11 3 1331
17 1 17
10 3 1000
24 2 576
29 0 1
18 2 324
9 1 9
11 3 1331
27 3 19683
29 4 707281
29 0 1
28 2 784
20 1 20
15 0 1
26 0 1
9 4 6561
17 2 289
21 4 194481
6 3 216
5 4 625
2 0 1
16 2 256
27 4 531441
23 4 279841
3 0 1
6 1 6
24 0 1
1 1 1
16 2 256
4 1 4
5 0 1
6 1 6
27 1 27
9 1 9
13 2 169
25 3 15625
15 3 3375
6 4 1296
14 2 196
9 2 81
21 0 1
18 2 324
26 0 1
23 0 1
5 1 5
25 1 25
14 3 2744
5 3 125
25 4 390625
8 0 1
20 2 400
27 1 27
2 4 16
25 3 15625
26 3 17576
8 4 4096
14 4 38416
24 3 13824
5 0 1
8 1 8
10 2 100
20 3 8000
16 0 1
15 1 15
0 0 1
0 1 0
7 2 49
3 2 9
9 1 9
4 2 16
9 1 9
22 2 484
27 1 27
7 3 343
25 2 625
22 4 234256
28 1 28
15 4 50625
7 2 49
19 0 1
26 0 1
0 0 1
25 0 1
24 0 1
19 0 1
2 2 4
16 1 16
8 0 1
23 2 529
12 2 144
7 0 1
26 2 676
14 3 2744
27 0 1
28 1 28
4 4 256
6 0 1
15 4 50625
14 2 196
16 3 4096
6 3 216
8 2 64
8 0 1
0 3 0
5 4 625
0 2 0
9 4 6561
2 0 1
15 3 3375
15 3 3375
11 0 1
23 2 529
28 3 21952
15 2 225
24 2 576
0 4 0
23 3 12167
7 2 49
18 4 104976
13 4 28561
9 4 6561
8 4 4096
9 2 81
2 2 4
11 2 121
2 1 2
25 1 25
17 0 1
16 1 16
15 1 15
5 2 25
4 1 4
13 2 169
0 2 0
10 2 100
29 3 24389
24 2 576
0 2 0
6 2 36
15 0 1
4 3 64
5 3 125
7 3 343
28 0 1
7 1 7
19 2 361
7 1 7
11 4 14641
7 2 49
22 4 234256
24 3 13824
3 2 9
8 4 4096
1 2 1
28 2 784
28 3 21952
10 0 1
29 4 707281
3 4 81
6 0 1
21 2 441
21 0 1
22 3 10648
11 1 11
17 0 1
6 2 36
21 1 21
13 4 28561
19 3 6859
0 1 0
1 1 1
9 1 9
26 4 456976
21 1 21
27 2 729
27 3 19683
18 2 324
3 1 3
1 0 1
29 3 24389
23 3 12167
19 4 130321
26 2 676
5 4 625
8 0 1
19 4 130321
26 4 456976
29 4 707281
9 2 81
6 4 1296
1 2 1
13 0 1
14 3 2744
0 2 0
22 3 10648
28 0 1
0 3 0
20 1 20
10 0 1
26 0 1
8 3 512
20 4 160000
12 2 144
27 0 1
3 0 1
6 3 216
23 1 23
8 4 4096
18 3 5832
19 0 1
12 3 1728
8 2 64
28 1 28
16 1 16
4 0 1
9 1 9
17 2 289
17 3 4913
18 2 324
15 4 50625
19 0 1
2 3 8
12 0 1
0 2 0
11 4 14641
26 3 17576
0 2 0
1 3 1
19 2 361
22 2 484
10 0 1
20 2 400
3 2 9
10 2 100
6 4 1296
3 1 3
13 2 169
10 1 10
8 1 8
28 4 614656
21 1 21
15 1 15
25 4 390625
12 3 1728
11 3 1331
16 3 4096
23 0 1
29 4 707281
3 1 3
24 1 24
17 2 289
6 2 36
22 2 484
17 4 83521
18 2 324
12 1 12
4 4 256
20 3 8000
8 1 8
28 2 784
19 4 130321
0 1 0
23 0 1
5 3 125
2 1 2
9 1 9
17 0 1
8 3 512
7 3 343
3 3 27
1 4 1
17 4 83521
22 2 484
29 1 29
8 2 64
12 4 20736
20 3 8000
18 0 1
6 2 36
3 1 3
4 1 4
23 1 23
11 3 1331
5 4 625
20 4 160000
11 3 1331
25 3 15625
29 2 841
5 1 5
17 0 1
29 4 707281
13 1 13
2 2 4
15 4 50625
4 0 1
14 4 38416
25 1 25
21 3 9261
19 4 130321
15 3 3375
25 4 390625
10 2 100
24 4 331776
25 1 25
17 4 83521
18 2 324
11 1 11
5 3 125
9 4 6561
8 0 1
21 4 194481
27 4 531441
21 1 21
0 0 1
3 0 1
10 4 10000
18 2 324
10 0 1
21 2 441
13 3 2197
7 4 2401
6 0 1
15 4 50625
13 4 28561
12 3 1728
23 0 1
3 4 81
4 2 16
7 0 1
22 4 234256
21 3 9261
27 2 729
10 4 10000
29 0 1
10 4 10000
29 4 707281
11 4 14641
10 1 10
25 0 1
14 2 196
25 2 625
18 3 5832
5 2 25
1 0 1
25 1 25
20 3 8000
3 2 9
7 3 343
22 0 1
8 0 1
22 2 484
3 2 9
1 1 1
9 1 9
0 1 0
29 0 1
20 1 20
4 4 256
22 2 484
27 4 531441
11 1 11
24 2 576
13 0 1
8 2 64
26 1 26
6 3 216
8 3 512
10 3 1000
6 4 1296
1 0 1
13 0 1
20 1 20
9 3 729
1 1 1
27 1 27
24 1 24
15 3 3375
14 4 38416
11 2 121
15 3 3375
6 4 1296
6 2 36
18 3 5832
1 2 1
15 3 3375
7 4 2401
26 2 676
26 3 17576
23 0 1
7 1 7
26 1 26
18 1 18
26 1 26
10 2 100
2 1 2
9 0 1
1 4 1
27 2 729
5 2 25
26 3 17576
19 1 19
25 2 625
20 4 160000
29 2 841
11 4 14641
19 2 361
17 4 83521
22 4 234256
27 2 729
1 1 1
20 3 8000
15 2 225
16 0 1
24 3 13824
15 2 225
1 3 1
5 2 25
25 0 1
6 3 216
2 1 2
28 2 784
8 3 512
10 2 100
2 0 1
15 4 50625
26 4 456976
15 0 1
8 0 1
22 0 1
15 1 15
21 1 21
11 1 11
25 0 1
21 2 441
27 2 729
2 0 1
4 0 1
5 2 25
28 1 28
10 0 1
15 2 225
19 1 19
8 4 4096
6 3 216
18 3 5832
0 3 0
5 0 1
20 1 20
26 2 676
23 3 12167
12 4 20736
29 4 707281
22 0 1
28 0 1
17 0 1
4 2 16
9 2 81
10 3 1000
24 2 576
28 2 784
17 4 83521
14 2 196
7 1 7
28 0 1
12 3 1728
26 4 456976
11 1 11
3 1 3
20 4 160000
23 4 279841
0 4 0
4 1 4
24 0 1
9 2 81
28 0 1
3 1 3
27 3 19683
22 2 484
16 3 4096
22 2 484
22 4 234256
17 0 1
28 0 1
28 0 1
20 2 400
9 4 6561
20 2 400
26 1 26
25 0 1
7 0 1
2 0 1
6 4 1296
1 4 1
14 3 2744
1 4 1
20 3 8000
10 0 1
26 2 676
29 2 841
8 0 1
25 2 625
23 2 529
1 2 1
25 0 1
1 2 1
21 3 9261
8 2 64
15 1 15
5 2 25
24 0 1
27 2 729
17 1 17
5 0 1
6 3 216
15 1 15
7 2 49
24 0 1
5 4 625
21 4 194481
3 1 3
12 0 1
18 3 5832
1 3 1
11 0 1
26 4 456976
9 0 1
10 0 1
26 4 456976
14 2 196
0 1 0
27 0 1
28 3 21952
19 4 130321
29 2 841
24 3 13824
9 2 81
14 1 14
4 2 16
14 4 38416
14 2 196
13 0 1
19 2 361
27 4 531441
16 2 256
10 0 1
17 0 1
16 3 4096
17 1 17
18 0 1
19 2 361
7 3 343
27 0 1
2 0 1
23 1 23
19 0 1
29 1 29
18 3 5832
27 1 27
4 3 64
15 2 225
5 0 1
26 2 676
13 4 28561
7 0 1
0 2 0
10 2 100
17 3 4913
2 4 16
6 4 1296
3 0 1
14 4 38416
14 2 196
21 1 21
20 2 400
17 2 289
28 4 614656
13 0 1
0 1 0
2 2 4
11 2 121
18 1 18
15 1 15
6 0 1
26 2 676
29 3 24389
1 4 1
12 3 1728
2 0 1
23 3 12167
16 1 16
3 0 1
15 1 15
6 0 1
14 1 14
6 3 216
13 1 13
4 1 4
7 4 2401
4 2 16
0 0 1
5 4 625
20 3 8000
23 1 23
2 4 16
15 1 15
2 0 1
9 2 81
7 1 7
0 4 0
4 2 16
25 4 390625
3 3 27
29 0 1
5 2 25
16 3 4096
2 0 1
19 2 361
4 1 4
22 4 234256
12 1 12
11 0 1
28 3 21952
2 1 2
16 1 16
8 2 64
5 4 625
23 0 1
21 1 21
22 4 234256
4 3 64
4 0 1
22 0 1
4 1 4
7 1 7
17 1 17
14 3 2744
4 1 4
16 4 65536
1 3 1
8 0 1
26 0 1
14 3 2744
9 3 729
6 1 6
24 4 331776
15 4 50625
3 3 27
8 0 1
16 1 16
24 1 24
19 1 19
5 2 25
11 0 1
1 2 1
6 0 1
11 1 11
10 1 10
8 1 8
4 2 16
4 1 4
26 4 456976
12 1 12
17 4 83521
3 0 1
16 4 65536
22 2 484
16 0 1
1 1 1
22 0 1
17 4 83521
21 1 21
21 4 194481
13 4 28561
22 4 234256
19 1 19
4 3 64
3 2 9
17 3 4913
1 4 1
25 4 390625
13 4 28561
5 4 625
12 4 20736
14 1 14
6 4 1296
7 0 1
17 3 4913
22 1 22
27 3 19683
9 3 729
12 0 1
4 4 256
28 2 784
28 2 784
25 1 25
19 4 130321
5 1 5
24 1 24
3 1 3
20 2 400
11 1 11
28 2 784
20 3 8000
22 1 22
2 2 4
0 4 0
8 2 64
26 0 1
23 2 529
10 2 100
7 1 7
17 3 4913
27 0 1
2 0 1
22 4 234256
16 4 65536
26 1 26
14 2 196
23 0 1
5 0 1
2 1 2
16 3 4096
20 2 400
1 3 1
16 1 16
24 1 24
8 4 4096
6 1 6
2 0 1
8 0 1
19 4 130321
4 2 16
14 1 14
0 4 0
12 1 12
15 0 1
20 3 8000
3 1 3
0 3 0
22 3 10648
24 2 576
22 3 10648
1 0 1
13 2 169
20 4 160000
27 3 19683
27 0 1
19 3 6859
18 0 1
5 3 125
5 0 1
7 0 1
26 2 676
18 4 104976
15 1 15
16 3 4096
25 0 1
25 0 1
25 2 625
17 0 1
12 4 20736
26 2 676
20 3 8000
23 2 529
0 0 1
7 4 2401
27 3 19683
25 4 390625
23 3 12167
15 1 15
1 3 1
28 2 784
24 4 331776
6 4 1296
4 3 64
19 0 1
8 0 1
4 1 4
14 3 2744
25 0 1
29 2 841
6 2 36
3 4 81
29 1 29
12 4 20736
15 2 225
21 0 1
12 0 1
10 1 10
4 0 1
20 2 400
23 1 23
25 3 15625
15 1 15
18 4 104976
24 3 13824
20 3 8000
21 4 194481
28 4 614656
5 3 125
3 3 27
2 1 2
10 4 10000
24 1 24
26 4 456976
15 1 15
0 4 0
2 0 1
4 0 1
18 4 104976
0 4 0
17 3 4913
12 4 20736
2 2 4
21 3 9261
8 0 1
27 3 19683
12 1 12
7 3 343
7 1 7
15 0 1
14 2 196
0 1 0
23 0 1
13 0 1
13 2 169
8 1 8
25 0 1
6 3 216
21 1 21
12 1 12
6 4 1296
4 4 256
18 4 104976
23 0 1
10 3 1000
1 4 1
10 1 10
23 3 12167
24 3 13824
12 3 1728
14 1 14
1 4 1
12 3 1728
19 3 6859
28 2 784
7 3 343
7 4 2401
9 1 9
4 4 256
1 1 1
26 4 456976
27 3 19683
18 0 1
9 1 9
3 4 81
13 2 169
16 3 4096
24 1 24
29 3 24389
6 4 1296
1 2 1
3 2 9
11 3 1331
17 3 4913
21 4 194481
0 0 1
23 3 12167
14 4 38416
7 2 49
24 4 331776
12 3 1728
26 4 456976
28 2 784
17 2 289
17 0 1
0 2 0
19 1 19
5 0 1
0 2 0
19 4 130321
17 0 1
28 0 1
27 1 27
3 4 81
0 2 0
20 3 8000
12 1 12
7 1 7
14 4 38416
19 2 361
0 2 0
12 0 1
15 0 1
20 3 8000
14 4 38416
8 4 4096
20 0 1
14 1 14
15 4 50625
15 4 50625
6 1 6
14 3 2744
24 0 1
29 2 841
7 2 49
5 0 1
10 1 10
12 4 20736
1 0 1
18 2 324
2 2 4
14 3 2744
6 0 1
26 0 1
23 0 1
1 1 1
6 2 36
9 2 81
24 4 331776
13 0 1
5 2 25
29 1 29
28 3 21952
6 2 36
24 3 13824
10 3 1000
14 1 14
21 1 21
15 2 225
0 1 0
16 2 256
26 0 1
15 2 225
27 0 1
12 0 1
13 3 2197
22 4 234256
15 0 1
29 1 29
21 0 1
14 0 1
11 3 1331
18 0 1
1 3 1
14 0 1
27 2 729
20 0 1
27 4 531441
19 0 1
5 3 125
6 1 6
21 4 194481
16 2 256
27 2 729
17 3 4913
12 2 144
8 1 8
0 3 0
19 4 130321
21 4 194481
12 0 1
28 1 28
4 3 64
20 4 160000
11 0 1
3 2 9
8 1 8
25 2 625
12 0 1
7 2 49
15 0 1
19 3 6859
0 3 0
15 1 15
2 0 1
7 2 49
4 3 64
25 2 625
4 3 64
23 4 279841
7 3 343
0 1 0
11 0 1
29 4 707281
2 2 4
21 3 9261
1 0 1
0 4 0
14 4 38416
10 1 10
13 3 2197
27 4 531441
18 1 18
4 4 256
0 3 0
27 2 729
4 0 1
3 2 9
13 0 1
26 3 17576
26 4 456976
1 4 1
14 1 14
20 3 8000
22 0 1
28 2 784
7 3 343
5 2 25
14 3 2744
14 4 38416
22 3 10648
12 1 12
11 0 1
15 0 1
29 3 24389
15 3 3375
7 3 343
14 1 14
19 3 6859
16 2 256
10 1 10
12 1 12
19 0 1
10 3 1000
16 0 1
21 0 1
5 4 625
9 3 729
29 2 841
16 3 4096
5 1 5
14 1 14
16 1 16
23 4 279841
26 2 676
5 0 1
27 2 729
13 0 1
21 1 21
13 1 13
12 3 1728
6 4 1296
15 0 1
7 3 343
10 3 1000
13 0 1
18 2 324
18 4 104976
17 1 17
0 3 0
10 1 10
6 3 216
23 1 23
23 1 23
3 0 1
9 2 81
23 2 529
2 3 8
2 1 2
24 4 331776
22 0 1
13 3 2197
15 0 1
14 2 196
1 3 1
